date,PortfolioValue,Capital,Shares
2026-02-26 18:45:00,100396.9140625,85125.7421875,0.22678999602794647
2026-02-26 19:00:00,100453.1328125,85125.7421875,0.22678999602794647
2026-02-26 19:15:00,100456.578125,85125.7421875,0.22678999602794647
2026-02-26 19:30:00,100429.328125,85125.7421875,0.22678999602794647
2026-02-26 19:45:00,100447.03125,85125.7421875,0.22678999602794647
2026-02-26 20:00:00,100486.53125,85125.7421875,0.22678999602794647
2026-02-26 20:15:00,100444.515625,100444.515625,0.0
2026-02-26 20:30:00,100444.515625,100444.515625,0.0
2026-02-26 20:45:00,100444.515625,100444.515625,0.0
2026-02-26 21:00:00,100444.515625,100444.515625,0.0
2026-02-26 21:15:00,100444.515625,100444.515625,0.0
2026-02-26 21:30:00,100444.515625,100444.515625,0.0
2026-02-26 21:45:00,100444.515625,100444.515625,0.0
2026-02-26 22:00:00,100444.515625,100444.515625,0.0
2026-02-26 22:15:00,100444.515625,100444.515625,0.0
2026-02-26 22:30:00,100444.515625,100444.515625,0.0
2026-02-26 22:45:00,100444.515625,100444.515625,0.0
2026-02-26 23:00:00,100444.515625,100444.515625,0.0
2026-02-26 23:15:00,100444.515625,100444.515625,0.0
2026-02-26 23:30:00,100444.515625,100444.515625,0.0
2026-02-26 23:45:00,100444.515625,100444.515625,0.0
2026-02-27 00:00:00,100444.515625,100444.515625,0.0
2026-02-27 00:15:00,100444.515625,100444.515625,0.0
2026-02-27 00:30:00,100444.515625,100444.515625,0.0
2026-02-27 00:45:00,100444.515625,100444.515625,0.0
2026-02-27 01:00:00,100444.515625,100444.515625,0.0
2026-02-27 01:15:00,100444.515625,100444.515625,0.0
2026-02-27 01:30:00,100444.515625,100444.515625,0.0
2026-02-27 01:45:00,100444.515625,100444.515625,0.0
2026-02-27 02:00:00,100444.515625,100444.515625,0.0
2026-02-27 02:15:00,100444.515625,100444.515625,0.0
2026-02-27 02:30:00,100444.515625,100444.515625,0.0
2026-02-27 02:45:00,100444.515625,100444.515625,0.0
2026-02-27 03:00:00,100444.515625,100444.515625,0.0
2026-02-27 03:15:00,100444.515625,100444.515625,0.0
2026-02-27 03:30:00,100444.515625,100444.515625,0.0
2026-02-27 03:45:00,100444.515625,100444.515625,0.0
2026-02-27 04:00:00,100444.515625,100444.515625,0.0
2026-02-27 04:15:00,100444.515625,100444.515625,0.0
2026-02-27 04:30:00,100444.515625,100444.515625,0.0
2026-02-27 04:45:00,100444.515625,100444.515625,0.0
2026-02-27 05:00:00,100444.515625,100444.515625,0.0
2026-02-27 05:15:00,100444.515625,100444.515625,0.0
2026-02-27 05:30:00,100444.515625,100444.515625,0.0
2026-02-27 05:45:00,100444.515625,100444.515625,0.0
2026-02-27 06:00:00,100444.515625,100444.515625,0.0
2026-02-27 06:15:00,100444.515625,100444.515625,0.0
2026-02-27 06:30:00,100444.515625,100444.515625,0.0
2026-02-27 06:45:00,100444.515625,100444.515625,0.0
2026-02-27 07:00:00,100444.515625,100444.515625,0.0
2026-02-27 07:15:00,100444.515625,100444.515625,0.0
